municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,media_score,media_maxtemp,media_mintemp,classificacao_geral
Madalena,"366,00","122,00","35,00","209,00","15,00","53,59","20,59","11,29",Aceitável
Mafra,"366,00","174,00","21,00","171,00","2,00","62,29","19,59","13,09",Bom
Maia,"366,00","136,00","18,00","212,00","5,00","55,74","18,21","13,30",Aceitável
Mangualde,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Manteigas,"366,00","71,00","36,00","259,00","19,00","43,86","17,46","7,49",Marginal
Marco de Canaveses,"366,00","100,00","35,00","231,00","19,00","48,88","20,45","10,22",Marginal
Marinha Grande,"366,00","167,00","23,00","176,00","2,00","59,90","20,54","11,84",Aceitável
Marvao,"366,00","165,00","20,00","181,00","8,00","60,24","20,99","11,56",Bom
Matosinhos,"366,00","136,00","18,00","212,00","5,00","55,74","18,21","13,30",Aceitável
Mealhada,"366,00","165,00","20,00","181,00","8,00","60,24","20,99","11,56",Bom
Meda,"366,00","76,00","38,00","252,00","8,00","44,96","18,09","8,24",Marginal
Melgaco,"366,00","138,00","24,00","204,00","11,00","53,58","18,66","11,28",Aceitável
Mertola,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Mesao Frio,"366,00","112,00","36,00","218,00","17,00","51,26","20,90","10,56",Aceitável
Mira,"366,00","165,00","20,00","181,00","8,00","60,24","20,99","11,56",Bom
Miranda do Corvo,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Miranda do Douro,"366,00","79,00","40,00","247,00","11,00","47,67","19,49","8,87",Marginal
Mirandela,"366,00","100,00","24,00","242,00","24,00","46,90","20,73","8,53",Marginal
Mogadouro,"366,00","79,00","40,00","247,00","11,00","47,59","19,49","8,87",Marginal
Moimenta da Beira,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Moita,"366,00","156,00","50,00","160,00","4,00","63,17","21,83","13,55",Bom
Moncao,"366,00","146,00","19,00","201,00","8,00","56,25","18,56","12,38",Aceitável
Monchique,"366,00","105,00","61,00","200,00","13,00","53,49","21,22","12,38",Aceitável
Mondim de Basto,"366,00","104,00","31,00","231,00","20,00","49,19","19,89","9,81",Marginal
Monforte,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Montalegre,"366,00","100,00","24,00","242,00","24,00","46,94","20,73","8,53",Marginal
Montemor-o-Novo,"366,00","106,00","38,00","222,00","36,00","48,08","23,35","11,47",Marginal
Montemor-o-Velho,"366,00","167,00","18,00","181,00","4,00","58,70","18,99","13,07",Aceitável
Montijo,"366,00","156,00","50,00","160,00","4,00","63,13","21,83","13,55",Bom
Mora,"366,00","79,00","40,00","247,00","11,00","47,59","19,49","8,87",Marginal
Mortagua,"366,00","104,00","38,00","224,00","18,00","49,41","19,47","10,08",Marginal
Moura,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Mourao,"366,00","138,00","18,00","210,00","5,00","54,78","18,30","13,08",Aceitável
Murca,"366,00","90,00","40,00","236,00","12,00","48,71","19,82","10,68",Marginal
Murtosa,"366,00","177,00","19,00","170,00","5,00","61,27","19,39","12,42",Bom
Nazare,"366,00","169,00","17,00","180,00","1,00","59,70","19,52","12,70",Aceitável
Nelas,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Nisa,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Nordeste,"366,00","176,00","6,00","184,00","5,00","58,91","19,70","17,01",Aceitável
Obidos,"366,00","178,00","15,00","173,00","2,00","61,42","19,51","12,98",Bom
Odemira,"366,00","105,00","61,00","200,00","13,00","53,49","21,22","12,38",Aceitável
