01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Bombarral,Município,Total,,,, fogos,19
2011,Borba,Município,T0 ou T1,,,, fogos,1
2011,Borba,Município,T2,,,, fogos,4
2011,Borba,Município,T3,,,, fogos,11
2011,Borba,Município,T4 ou mais,,,, fogos,1
2011,Borba,Município,Total,,,, fogos,17
2011,Boticas,Município,T0 ou T1,,,, fogos,0
2011,Boticas,Município,T2,,,, fogos,2
2011,Boticas,Município,T3,,,, fogos,8
2011,Boticas,Município,T4 ou mais,,,, fogos,1
2011,Boticas,Município,Total,,,, fogos,11
2011,Braga,Município,T0 ou T1,,,, fogos,62
2011,Braga,Município,T2,,,, fogos,76
2011,Braga,Município,T3,,,, fogos,260
2011,Braga,Município,T4 ou mais,,,, fogos,266
2011,Braga,Município,Total,,,, fogos,664
2011,Bragança,Município,T0 ou T1,,,, fogos,5
2011,Bragança,Município,T2,,,, fogos,14
2011,Bragança,Município,T3,,,, fogos,58
2011,Bragança,Município,T4 ou mais,,,, fogos,35
2011,Bragança,Município,Total,,,, fogos,112
2011,Cabeceiras de Basto,Município,T0 ou T1,,,, fogos,1
2011,Cabeceiras de Basto,Município,T2,,,, fogos,8
2011,Cabeceiras de Basto,Município,T3,,,, fogos,38
2011,Cabeceiras de Basto,Município,T4 ou mais,,,, fogos,18
2011,Cabeceiras de Basto,Município,Total,,,, fogos,65
2011,Cadaval,Município,T0 ou T1,,,, fogos,1
2011,Cadaval,Município,T2,,,, fogos,2
2011,Cadaval,Município,T3,,,, fogos,24
2011,Cadaval,Município,T4 ou mais,,,, fogos,10
2011,Cadaval,Município,Total,,,, fogos,37
2011,Caldas da Rainha,Município,T0 ou T1,,,, fogos,104
2011,Caldas da Rainha,Município,T2,,,, fogos,17
2011,Caldas da Rainha,Município,T3,,,, fogos,37
2011,Caldas da Rainha,Município,T4 ou mais,,,, fogos,20
2011,Caldas da Rainha,Município,Total,,,, fogos,178
2011,Calheta [R.A.A.],Município,T0 ou T1,,,, fogos,0
2011,Calheta [R.A.A.],Município,T2,,,, fogos,4
2011,Calheta [R.A.A.],Município,T3,,,, fogos,6
2011,Calheta [R.A.A.],Município,T4 ou mais,,,, fogos,1
2011,Calheta [R.A.A.],Município,Total,,,, fogos,11
2011,Calheta [R.A.M.],Município,T0 ou T1,,,, fogos,5
2011,Calheta [R.A.M.],Município,T2,,,, fogos,4
2011,Calheta [R.A.M.],Município,T3,,,, fogos,20
2011,Calheta [R.A.M.],Município,T4 ou mais,,,, fogos,12
2011,Calheta [R.A.M.],Município,Total,,,, fogos,41
2011,Câmara de Lobos,Município,T0 ou T1,,,, fogos,2
2011,Câmara de Lobos,Município,T2,,,, fogos,4
2011,Câmara de Lobos,Município,T3,,,, fogos,44
2011,Câmara de Lobos,Município,T4 ou mais,,,, fogos,3
2011,Câmara de Lobos,Município,Total,,,, fogos,53
2011,Caminha,Município,T0 ou T1,,,, fogos,6
2011,Caminha,Município,T2,,,, fogos,22
2011,Caminha,Município,T3,,,, fogos,45
2011,Caminha,Município,T4 ou mais,,,, fogos,3
2011,Caminha,Município,Total,,,, fogos,76
