01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Avis,Município,55 ou mais anos,,,,,56.6
2009,Avis,Município,Menos de 25 anos,,,,,34.2
2009,Avis,Município,Total,,,,,232.3
2009,Azambuja,Município,25-34,,,,,258.6
2009,Azambuja,Município,35-44,,,,,205.1
2009,Azambuja,Município,45-54,,,,,206.1
2009,Azambuja,Município,55 ou mais anos,,,,,199.5
2009,Azambuja,Município,Menos de 25 anos,,,,,111.3
2009,Azambuja,Município,Total,,,,,980.5
2009,Baião,Município,25-34,,,,,399.3
2009,Baião,Município,35-44,,,,,480.6
2009,Baião,Município,45-54,,,,,401.1
2009,Baião,Município,55 ou mais anos,,,,,198.7
2009,Baião,Município,Menos de 25 anos,,,,,279.6
2009,Baião,Município,Total,,,,,1759.2
2009,Barcelos,Município,25-34,,,,,876.9
2009,Barcelos,Município,35-44,,,,,999.7
2009,Barcelos,Município,45-54,,,,,1273.7
2009,Barcelos,Município,55 ou mais anos,,,,,1256.6
2009,Barcelos,Município,Menos de 25 anos,,,,,620.1
2009,Barcelos,Município,Total,,,,,5026.9
2009,Barrancos,Município,25-34,,,,,14.3
2009,Barrancos,Município,35-44,,,,,29.1
2009,Barrancos,Município,45-54,,,,,17.3
2009,Barrancos,Município,55 ou mais anos,,,,,13.8
2009,Barrancos,Município,Menos de 25 anos,,,,,16.2
2009,Barrancos,Município,Total,,,,,90.5
2009,Barreiro,Município,25-34,,,,,1021.3
2009,Barreiro,Município,35-44,,,,,942.8
2009,Barreiro,Município,45-54,,,,,857.8
2009,Barreiro,Município,55 ou mais anos,,,,,706.8
2009,Barreiro,Município,Menos de 25 anos,,,,,458.1
2009,Barreiro,Município,Total,,,,,3986.7
2009,Batalha,Município,25-34,,,,,124.4
2009,Batalha,Município,35-44,,,,,79.7
2009,Batalha,Município,45-54,,,,,113.1
2009,Batalha,Município,55 ou mais anos,,,,,112.1
2009,Batalha,Município,Menos de 25 anos,,,,,65.7
2009,Batalha,Município,Total,,,,,494.9
2009,Beja,Município,25-34,,,,,389.3
2009,Beja,Município,35-44,,,,,268.2
2009,Beja,Município,45-54,,,,,203.4
2009,Beja,Município,55 ou mais anos,,,,,148.5
2009,Beja,Município,Menos de 25 anos,,,,,211.3
2009,Beja,Município,Total,,,,,1220.8
2009,Belmonte,Município,25-34,,,,,98.0
2009,Belmonte,Município,35-44,,,,,77.8
2009,Belmonte,Município,45-54,,,,,72.3
2009,Belmonte,Município,55 ou mais anos,,,,,53.8
2009,Belmonte,Município,Menos de 25 anos,,,,,54.2
2009,Belmonte,Município,Total,,,,,356.1
2009,Benavente,Município,25-34,,,,,325.1
2009,Benavente,Município,35-44,,,,,339.8
2009,Benavente,Município,45-54,,,,,257.4
2009,Benavente,Município,55 ou mais anos,,,,,205.6
2009,Benavente,Município,Menos de 25 anos,,,,,200.2
2009,Benavente,Município,Total,,,,,1328.0
2009,Bombarral,Município,25-34,,,,,122.8
2009,Bombarral,Município,35-44,,,,,103.9
2009,Bombarral,Município,45-54,,,,,108.6
2009,Bombarral,Município,55 ou mais anos,,,,,81.3
2009,Bombarral,Município,Menos de 25 anos,,,,,70.3
2009,Bombarral,Município,Total,,,,,486.8
