;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
46;Município;Norte;Vila Pouca de Aguiar;994;7277;3639;8,3;61,1;30,6;0;4;10;3;2;2;1;0;906,6;6,2;65,5;22,4;5;41,5007614;-7,644286800000001;Vila Pouca de Aguiar, Vila Real, Portugal;335,1984997977937;89,83063719598803;3,9;402,5;1,2;117,4;15,0;17;16
75;Município;Norte;Vila Nova de Foz Coa;560;3880;2024;8,7;60,0;31,3;0;4;3;2;1;1;0;1;947,3;5,4;68,3;33,7;2;41,0818397;-7,142413799999999;Vila Nova de Foz Coa, Guarda, 5150-592, Portugal;313,9417467189138;123,55267334684694;3,7;389,6;2,2;196,3;15,0;15;16
70;Município;Norte;Sao Joao da Pesqueira;744;4653;1697;10,5;65,6;23,9;0;3;6;4;1;2;3;0;965,4;4,4;65,5;18,5;2;41,147872;-7,4038806;São João da Pesqueira, Viseu, Portugal;308,7615927560148;101,314255267758;4,1;403,2;2,1;157,2;15,0;16;16
80;Município;Norte;Miranda do Douro;563;3952;2282;8,3;58,1;33,6;0;2;4;3;2;2;0;0;880,4;4,6;72,9;23,5;5;41,5000816;-6,271331;Miranda do Douro, Bragança, Portugal;394,6823535493808;199,6881601223353;4,9;507,4;2,7;258,2;18,0;15;15
74;Município;Norte;Torre de Moncorvo;584;4305;2762;7,6;56,3;36,1;0;3;8;1;1;1;0;1;859,5;7,6;63,1;32,3;3;41,1739499;-7,0526159;Torre de Moncorvo, Bragança, Portugal;326,6352668414988;130,80276620516412;3,9;409,3;2,1;190,1;15,0;15;15
73;Município;Norte;Tarouca;845;5316;1653;10,8;68,0;21,2;0;2;3;1;1;1;0;0;828,4;8,6;63,4;17,8;2;41,0176;-7,774995233633934;Tarouca, Viseu, 3610-130, Portugal;281,6785510929887;71,74069512735038;3,5;346,1;1,5;134,4;28,0;15;15
84;Município;Norte;Vimioso;427;2203;1361;10,7;55,2;34,1;0;3;2;1;1;1;4;0;854,5;5,7;63,3;27,1;3;41,5849534;-6,5291002;Vimioso, Bragança, Portugal;389,0977266251782;180,75343450356084;5,0;500,2;2,5;224,5;18,0;14;15
72;Município;Norte;Tabuaco;470;4007;1551;7,8;66,5;25,7;0;3;1;1;1;1;0;0;966,3;9,1;55,9;11,1;2;41,1173591;-7,5662701;Tabuaço, Viseu, Portugal;299,3321062678121;87,77516771987653;4,0;379,7;1,8;141,9;15,0;15;15
68;Município;Norte;Sabrosa;574;3664;1663;9,7;62,1;28,2;0;2;5;1;1;1;0;0;946,1;7,2;62,6;20,5;2;41,2663847;-7,5757615;Sabrosa, Vila Real, Portugal;313,8037806510502;87,77339844829353;3,8;382,1;1,2;110,4;12,0;14;15
43;Município;Norte;Montalegre;675;5039;3226;7,5;56,4;36,1;0;5;3;3;2;2;0;0;874,5;5,4;63,3;35,6;7;41,8232206;-7,792314200000001;Montalegre, Vila Real, Portugal;364,3351837613892;101,34948670657876;4,6;457,8;1,9;148,3;21,0;16;15
57;Município;Norte;Resende;1146;6579;2355;11,4;65,3;23,4;0;3;4;3;1;1;0;0;803,2;8,4;61,7;21,8;3;41,0749527;-7,9506359083411375;Resende, Viseu, Portugal;281,7217523956072;56,061471179557;3,7;352,8;1,3;91,9;18,0;14;15
60;Município;Norte;Carrazeda de Ansiaes;547;3114;1978;9,7;55,2;35,1;0;2;2;1;1;1;0;1;860,9;6,7;62,1;23,9;2;41,24694415;-7,3033782535900595;Carrazeda de Ansiães, Bragança, 5140-080 CARRAZEDA DE ANSIÃES, Portugal;322,4870877518713;110,2011385810578;4,2;423,2;1,6;144,3;15,0;15;15
14;Município;Norte;Terras de Bouro;630;3991;1718;9,9;63,0;27,1;0;3;7;3;2;2;2;0;888,9;7,6;63,8;25,9;1;41,7190293;-8,3083026;Terras de Bouro, Braga, 4840-100, Portugal;341,71694815216864;68,12353689213506;3,9;391,5;1,2;82,5;18,0;14;15
85;Município;Norte;Vinhais;526;3924;3228;6,9;51,1;42,0;0;4;5;5;1;1;12;0;810,2;6,6;59,9;20,2;3;41,833606200000006;-7,007716;Vinhais, Bragança, Portugal;391,45228407601127;153,92540991622468;4,8;477,7;2,2;198,8;16,0;15;15
64;Município;Norte;Moimenta da Beira;1058;6229;2438;10,9;64,0;25,1;0;3;5;3;1;2;2;0;836,0;11,1;66,0;26,1;3;40,984641100000005;-7,6185527;Moimenta da Beira, Viseu, Portugal;284,2247952551683;85,38159311108043;3,8;361,5;1,9;154,2;15,0;15;15
