;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
136;Ilha do Pico;16,0;14,0;15,0;15,5;17,0;19,5;21,0;23,0;21,5;21,0;19,0;17,0
137;Ilhavo;13,0;14,5;17,0;19,0;19,0;21,5;22,0;24,0;24,5;22,0;17,5;16,0
138;Lagoa;16,0;14,0;15,0;15,5;17,0;19,5;21,0;23,0;21,5;21,0;19,0;17,0
139;Lagoa [R.A.A.];16,0;14,0;15,0;15,5;17,0;19,5;21,0;23,0;21,5;21,0;19,0;17,0
140;Lagos;14,0;16,0;17,0;18,5;21,0;22,0;25,0;26,0;26,0;24,0;19,5;18,0
141;Lajes das Flores;17,0;15,0;16,0;16,0;17,0;20,0;21,0;23,0;21,0;21,0;19,5;17,5
142;Lajes do Pico;16,0;14,0;15,0;15,5;17,0;19,5;21,0;23,0;21,5;21,0;19,0;17,0
143;Lamego;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
144;Leiria;12,0;15,0;16,0;19,0;20,0;22,5;24,0;26,0;26,0;23,0;18,0;16,5
145;Leziria do Tejo;12,0;16,0;18,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;17,0;17,0
146;Lisboa;14,0;16,0;17,0;19,0;22,0;24,0;25,0;27,0;27,0;25,0;20,0;17,0
147;Loule;13,0;15,5;17,0;19,0;24,0;26,0;29,0;30,0;29,0;25,0;19,0;17,0
148;Loures;14,0;16,0;17,0;19,0;22,0;24,0;25,0;27,0;27,0;25,0;20,0;17,0
149;Lourinha;13,0;15,0;16,0;19,0;20,0;22,5;24,0;26,0;26,5;24,0;19,5;17,0
150;Lousa;14,0;15,0;16,0;18,0;20,0;21,0;23,0;25,0;26,0;24,0;18,0;17,0
151;Lousada;12,0;14,0;17,0;19,5;20,0;25,5;28,0;29,0;27,0;23,0;16,0;14,0
152;Macao;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;18,0;17,0
153;Macedo de Cavaleiros;8,0;10,5;15,0;16,0;20,0;25,0;30,0;32,0;24,0;20,0;13,5;11,0
154;Machico;17,0;18,0;16,0;19,0;19,0;21,0;22,0;24,0;24,0;23,0;20,0;19,0
155;Madalena;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
156;Mafra;14,0;15,0;16,0;18,0;20,0;21,0;23,0;25,0;26,0;24,0;18,0;17,0
157;Maia;13,0;14,0;15,0;17,0;17,0;19,0;20,0;22,0;22,0;20,0;17,0;15,0
158;Mangualde;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0;13,5
159;Manteigas;10,0;11,0;16,0;17,5;21,0;26,5;31,0;33,0;27,0;23,0;15,0;13,0
160;Marco de Canaveses;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;13,5;12,5
161;Marilia;29,0;28,5;28,0;28,0;28,0;26,5;27,0;32,0;39,5;28,0;33,0;32,0
162;Marinha Grande;12,0;15,0;16,0;19,0;20,0;22,5;24,0;26,0;26,0;23,0;18,0;16,5
163;Marvao;14,0;15,0;16,0;18,0;20,0;21,0;23,0;25,0;26,0;24,0;18,0;17,0
164;Matosinhos;13,0;14,0;15,0;17,0;17,0;19,0;20,0;22,0;22,0;20,0;17,0;15,0
165;Mealhada;13,0;15,0;17,0;20,0;21,0;24,0;25,0;27,0;27,0;23,0;18,5;17,0
166;Meda;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;12,5;10,0
167;Medio Tejo;11,0;13,5;18,0;19,0;25,0;30,5;34,0;35,0;29,0;25,0;17,0;15,0
168;Melgaco;11,0;12,5;15,0;16,5;16,0;20,0;20,0;22,0;22,0;20,0;16,5;14,0
169;Mertola;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0;17,0
170;Mesao Frio;12,0;14,0;17,0;19,5;20,0;25,5;28,0;29,0;27,0;23,0;16,0;14,0
171;Mira;13,0;15,0;17,0;20,0;21,0;24,0;25,0;27,0;27,0;23,0;18,5;17,0
172;Miranda do Corvo;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
173;Miranda do Douro;8,0;11,5;15,0;17,0;21,0;25,5;30,0;32,0;24,0;21,0;14,0;12,0
174;Mirandela;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0;12,5
175;Mogadouro;10,0;11,0;16,0;17,5;21,0;26,5;31,0;33,0;27,0;23,0;15,0;13,0
176;Moimenta da Beira;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
177;Moita;14,0;16,0;17,0;19,5;23,0;25,0;27,0;28,0;28,0;25,0;20,0;18,0
178;Moncao;12,0;13,0;16,0;17,5;17,0;20,0;22,0;23,0;23,0;21,0;17,0;15,0
179;Monchique;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;18,0;16,0
180;Mondim de Basto;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0;13,5
181;Monforte;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;15,0;14,0
182;Montalegre;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0;12,5
183;Montemor-o-Novo;13,0;16,0;18,0;21,0;25,0;30,0;33,0;34,0;30,0;28,0;19,0;17,0
184;Montemor-o-Velho;13,0;15,0;16,0;18,0;18,0;19,5;21,0;23,0;24,0;21,0;18,0;16,5
185;Montijo;14,0;16,0;17,0;19,5;23,0;25,0;27,0;28,0;28,0;25,0;20,0;18,0
186;Mora;13,0;16,0;18,0;21,0;25,0;30,0;33,0;34,0;30,0;28,0;19,0;17,0
187;Mortagua;10,0;11,0;16,0;18,0;20,0;24,5;27,0;29,0;25,0;22,0;16,0;13,5
