
Quadro extraído em 28 de Julho de 2025 (19:30:24)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral;;
;Período de referência dos dados;;
;2.º Semestre de 2024;1.º Semestre de 2024;
;? ;? ;
1941814: Santa Comba Dão;4,01;3,99;
1941816: São Pedro do Sul;5,27;5,31;
1941817: Sátão;2,79;2,66;
1941821: Tondela;5;4,76;
1941822: Vila Nova de Paiva;- -;- -;
1941823: Viseu;5,72;5,5;
1941824: Vouzela;3,44;3,45;
195: Beira Baixa;4,36;4,01;
1950502: Castelo Branco;4,54;4,19;
1950505: Idanha-a-Nova;- -;- -;
1950506: Oleiros;- -;- -;
1950507: Penamacor;- -;- -;
1950508: Proença-a-Nova;4,26;4,26;
1950509: Sertã;4,17;3,86;
1950510: Vila de Rei;- -;- -;
1950511: Vila Velha de Ródão;- -;- -;
196: Beiras e Serra da Estrela;4,11;3,97;
1960902: Almeida;- -;- -;
1960501: Belmonte;3,22;2,67;
1960903: Celorico da Beira;- -;- -;
1960503: Covilhã;5;4,68;
1960904: Figueira de Castelo Rodrigo;- -;- -;
1960905: Fornos de Algodres;- -;- -;
1960504: Fundão;4,5;4,26;
1960906: Gouveia;2,99;2,97;
1960907: Guarda;4,17;4,22;
1960908: Manteigas;- -;- -;
1960909: Mêda;- -;- -;
1960910: Pinhel;- -;- -;
1960911: Sabugal;3,52;3,22;
1960912: Seia;3,85;3,66;
1960913: Trancoso;- -;- -;
1D: Oeste e Vale do Tejo;6,25;5,9;
1D1: Oeste;6,98;6,56;
1D11001: Alcobaça;6,2;5,7;
1D11101: Alenquer;7,82;6,98;
1D11102: Arruda dos Vinhos;6,75;6,74;
1D11005: Bombarral;5,8;5,68;
1D11104: Cadaval;4,9;4,58;
1D11006: Caldas da Rainha;7,04;6,92;
1D11108: Lourinhã;6,21;5,79;
1D11011: Nazaré;7,86;7,58;
1D11012: Óbidos;6,61;6,44;
1D11014: Peniche;6,64;6,54;
1D11112: Sobral de Monte Agraço;5,29;4,86;
1D11113: Torres Vedras;8,09;7,69;
1D2: Médio Tejo;5,6;5,37;
1D21401: Abrantes;5,26;4,82;
1D21402: Alcanena;4,6;4,16;
1D21408: Constância;- -;- -;
1D21410: Entroncamento;6,79;6,04;
1D21411: Ferreira do Zêzere;4,37;4,5;
1D21413: Mação;3,33;- -;
1D21421: Ourém;5,7;5,61;
1D21417: Sardoal;- -;- -;
1D21418: Tomar;6;5,92;
1D21419: Torres Novas;6;5,63;
1D21420: Vila Nova da Barquinha;- -;4,44;
1D3: Lezíria do Tejo;5,96;5,43;
1D31403: Almeirim;5,86;5,27;
1D31404: Alpiarça;- -;3,79;
1D31103: Azambuja;6,24;6,18;
1D31405: Benavente;7,1;6,53;
1D31406: Cartaxo;5,16;5,06;
1D31407: Chamusca;3,74;3,74;
1D31409: Coruche;5,57;5,24;
1D31412: Golegã;4,74;4,31;
1D31414: Rio Maior;4,53;4,27;
1D31415: Salvaterra de Magos;6,13;4,86;
1D31416: Santarém;6,67;6,22;
1A: Grande Lisboa;13,06;12,5;
1A0: Grande Lisboa;13,06;12,5;
1A01115: Amadora;11,8;11,24;
1A0111513: Águas Livres;12,21;11,9;
1A0111512: Alfragide;11,35;10,57;
1A0111514: Encosta do Sol;10,31;9,5;
1A0111515: Falagueira-Venda Nova;12,2;11,21;
1A0111516: Mina de Água;11,12;10,95;
1A0111517: Venteira;13,33;12,2;
1A01105: Cascais;15,31;14,87;
1A0110501: Alcabideche;12,22;10,71;
1A0110506: São Domingos de Rana;12,99;12,16;
1A0110507: União das freguesias de Carcavelos e Parede;16,15;16,09;
1A0110508: União das freguesias de Cascais e Estoril;17,05;16,83;
1A01106: Lisboa;15,93;15,63;
1A0110601: Ajuda;17,06;15,91;
