,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address,Porto_distance,Porto_duration,Porto_transit_distance,Porto_transit_duration,Lisboa_distance,Lisboa_duration,Lisboa_transit_distance,Lisboa_transit_duration
109,Centro,Sobral de Monte Agraço,39.0188114,-9.1505771,ChIJk_WIn__UGA0RJ_JUd-yPiM0,Portugal,Lisbon,Sobral de Monte Agraço,"2590 Sobral de Monte Agraço, Portugal",288,02:51:00,376,05:25:00,46.1,00:50:00,65.1,01:32:00
110,Centro,Torres Vedras,39.09177589999999,-9.2600341,ChIJUxs6LcItHw0RiKarfvzELMo,Portugal,Lisbon,Torres Vedras,"2560 Torres Vedras, Portugal",274,02:37:00,351,04:05:00,54.1,00:51:00,55.7,04:50:00
112,Centro,Águeda,40.5754246,-8.446436799999999,ChIJYyaa4skLIw0RUFmQ5L3rAAU,Portugal,Aveiro District,Águeda,"3750 Agueda, Portugal",76.7,00:58:00,83.7,01:42:00,254,02:38:00,297,04:07:00
113,Centro,Albergaria-a-Velha,40.6897102,-8.4813861,ChIJjzrBdDOeIw0R7NUmtS8KH1k,Portugal,Aveiro District,Albergaria-a-Velha,"3850 Albergaria-a-Velha, Portugal",65.9,00:46:00,66.4,01:19:00,263,02:35:00,377,04:40:00
114,Centro,Anadia,40.46671569999999,-8.4622987,ChIJd5cbkPwGIw0RhOKTExI3OYc,Portugal,Aveiro District,Anadia,"Anadia, 3780, Portugal",89.2,01:01:00,94.6,02:29:00,232,02:27:00,401,06:25:00
115,Centro,Aveiro,40.6405055,-8.6537539,ChIJjeey1Q6YIw0RBx88Ac3hQjA,Portugal,Aveiro District,Aveiro,"Aveiro, Portugal",74.5,00:55:00,63.4,00:39:00,253,02:35:00,384,04:30:00
116,Centro,Estarreja,40.7528385,-8.5709856,ChIJlfEUiYacIw0RVYXsFgojzmg,Portugal,Aveiro District,Estarreja,"Estarreja, Portugal",52.5,00:41:00,48.9,00:31:00,270,02:42:00,364,04:33:00
117,Centro,Ílhavo,40.602309,-8.672371,ChIJ2SkyGSG9Iw0RDFiyU_kXTUI,Portugal,Aveiro District,Ílhavo,"3830 Ilhavo, Portugal",81.8,00:59:00,Não disponível,00:00:00,250,02:34:00,Não disponível,00:00:00
118,Centro,Murtosa,40.7370493,-8.6399173,ChIJOY_wXXOaIw0RD90wDvDJl20,Portugal,Aveiro,Murtosa,"3870 Murtosa, Portugal",59.0,00:47:00,Não disponível,00:00:00,277,02:48:00,Não disponível,00:00:00
119,Centro,Oliveira do Bairro,40.5170209,-8.498208,ChIJCWgTmpenIw0R1FXxqisqhj4,Portugal,Aveiro District,Oliveira do Bairro,"3770 Oliveira do Bairro, Portugal",82.9,00:58:00,84.0,01:41:00,250,02:32:00,410,05:47:00
