,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address
140,Centro,Soure,40.0610524,-8.6239203,ChIJ22z5DmFcIg0RNuod_RNaZgA,Portugal,Coimbra District,Soure,"3130 Soure, Portugal"
141,Centro,Tábua,40.3617145,-8.028221799999999,ChIJ4_PIEmcnIw0RUWp6k_NtZro,Portugal,Coimbra,Tábua,"3420 Tábua, Portugal"
142,Centro,Vila Nova de Poiares,40.2107667,-8.25907,ChIJI6K0NQPlIg0Ri5NIyy0_s74,Portugal,Coimbra District,Vila Nova de Poiares,"3350 Vila Nova de Poiares, Portugal"
144,Centro,Alvaiázere,39.8237427,-8.3807264,ChIJHVWIggmGIg0RARM0PuQd5jo,Portugal,Leiria,Alvaiázere,"3250 Alvaiázere, Portugal"
145,Centro,Ansião,39.9107177,-8.438509999999999,ChIJ9-O7yX-JIg0RXbcyD_14pJQ,Portugal,Leiria District,Ansião,"3240 Ansião, Portugal"
146,Centro,Batalha,39.6583864,-8.8241787,ChIJSwEqzE11Ig0R7Ru_-mMeckA,Portugal,Leiria District,Batalha,"2440 Batalha, Portugal"
147,Centro,Castanheira de Pêra,40.0058478,-8.2125382,ChIJhxtNhLmUIg0R2yQXb_ZKUBY,Portugal,Leiria District,Castanheira de Pera,"3280 Castanheira de Pêra, Portugal"
148,Centro,Figueiró dos Vinhos,39.8993771,-8.2801574,ChIJESISmbKRIg0RyN_VUMC7Twk,Portugal,Leiria District,Figueiró dos Vinhos,"3260 Figueiró Dos Vinhos, Portugal"
149,Centro,Leiria,39.74953310000001,-8.807682999999999,ChIJubLJNBVzIg0RbDzUOSeDr00,Portugal,Leiria District,Leiria,"Leiria, Portugal"
150,Centro,Marinha Grande,39.7503802,-8.931805899999999,ChIJV9Vi11oOIg0R4poDG-2sLz4,Portugal,Leiria District,Marinha Grande,"2430 Marinha Grande, Portugal"
151,Centro,Pedrógão Grande,39.91765609999999,-8.145618400000002,ChIJA0nh5iKWIg0RVvcBJWpNCE8,Portugal,Leiria,Pedrógão Grande,"3270 Pedrógão Grande, Portugal"
152,Centro,Pombal,39.9162755,-8.628103099999999,ChIJ0wvWadRlIg0RLgu6gtLE914,Portugal,Leiria District,Pombal,"3100 Pombal, Portugal"
153,Centro,Porto de Mós,39.5990855,-8.8307626,ChIJFXQaxSygGA0RgNyQ5L3rAAU,Portugal,Leiria District,Porto de Mós,"2480 Porto de Mós, Portugal"
155,Centro,Aguiar da Beira,40.816453,-7.5454104,ChIJrexZ27q7PA0RaYvLYzsFTFU,Portugal,Guarda District,Aguiar da Beira,"3570 Aguiar da Beira, Portugal"
156,Centro,Carregal do Sal,40.4347784,-7.9980002,ChIJQwgowQgmIw0RTg_zfFMt4oY,Portugal,Viseu District,Carregal do Sal,"3430 Carregal do Sal, Portugal"
157,Centro,Castro Daire,40.8997924,-7.933502,ChIJtTbNzyZRIw0R7o9T22m8aro,Portugal,Viseu District,Castro Daire,"3600 Castro Daire, Portugal"
158,Centro,Mangualde,40.604979,-7.762452099999999,ChIJ5zOMGKLMPA0R5D-dqKKLCuI,Portugal,Viseu District,Mangualde,"3530 Mangualde, Portugal"
159,Centro,Nelas,40.537787,-7.8498679,ChIJr1N90BsyIw0RqoLEqPM-WUQ,Portugal,Viseu District,Nelas,"3520 Nelas, Portugal"
160,Centro,Oliveira de Frades,40.7322554,-8.1737805,ChIJQ5eXLolrIw0RsE9NHm8equk,Portugal,Viseu District,Oliveira de Frades,"3680 Oliveira de Frades, Portugal"
161,Centro,Penalva do Castelo,40.6767248,-7.6960437,ChIJv0I-36zJPA0RMk7tVet6ODI,Portugal,Viseu,Penalva do Castelo,"3550 Penalva do Castelo, Portugal"
162,Centro,Santa Comba Dão,40.3966275,-8.1314525,ChIJAy-pV9YhIw0RIQf6C9EazW8,Portugal,Viseu District,Santa Comba Dão,"3440 Santa Comba Dão, Portugal"
163,Centro,São Pedro do Sul,40.7597932,-8.0640758,ChIJaZaAyVhBIw0RphLT3AGIsfE,Portugal,Viseu District,São Pedro do Sul,"3660 São Pedro do Sul, Portugal"
164,Centro,Sátão,40.7423572,-7.732120099999999,ChIJKVNcgvq0PA0RMnCE6S60a_M,Portugal,Viseu District,Sátão,"3560 Sátão, Portugal"
165,Centro,Tondela,40.5170645,-8.0802569,ChIJjQFHMEwjIw0R7nuN2OlYxm0,Portugal,Viseu,Tondela,"3460 Tondela, Portugal"
166,Centro,Vila Nova de Paiva,40.8508324,-7.7309812,ChIJ92JB-mSyPA0RzBntnfdflwo,Portugal,Viseu District,Vila Nova de Paiva,"3650 Vila Nova de Paiva, Portugal"
