01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2008,Suécia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,79795
2009,,Portugal,,Furto em edifício comercial ou industrial,,, crimes,,16448
2009,,Portugal,,Furto em residência,,, crimes,,26045
2009,,Portugal,,Furto em veículo motorizado,,, crimes,,45748
2009,,Portugal,,Total,,, crimes,,427787
2009,,Portugal,,Violência doméstica contra cônjuge ou análogos,,, crimes,,23263
2009,Alemanha,,,01. Homicídio intencional,,, crimes,,721
2009,Alemanha,,,02. Tentativa de homicídio intencional,,, crimes,,1649
2009,Alemanha,,,03. Agressão grave,,, crimes,,149301
2009,Alemanha,,,04. Sequestro,,, crimes,,5126
2009,Alemanha,,,05. Violência sexual,,, crimes,,49084
2009,Alemanha,,,06. Violação,,, crimes,,7314
2009,Alemanha,,,07. Assédio sexual,,, crimes,,41770
2009,Alemanha,,,08. Roubo,,, crimes,,49317
2009,Alemanha,,,09. Arrombamento,,, crimes,,386647
2009,Alemanha,,,10. Roubo em residências particulares,,, crimes,,113800
2009,Alemanha,,,11. Furto,,, crimes,,1308687
2009,Alemanha,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,87693
2009,Alemanha,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,235842
2009,Áustria,,,01. Homicídio intencional,,, crimes,,51
2009,Áustria,,,02. Tentativa de homicídio intencional,,, crimes,,102
2009,Áustria,,,03. Agressão grave,,, crimes,,4023
2009,Áustria,,,04. Sequestro,,, crimes,,5
2009,Áustria,,,05. Violência sexual,,, crimes,,3836
2009,Áustria,,,06. Violação,,, crimes,,779
2009,Áustria,,,07. Assédio sexual,,, crimes,,3057
2009,Áustria,,,08. Roubo,,, crimes,,4577
2009,Áustria,,,09. Arrombamento,,, crimes,,107407
2009,Áustria,,,10. Roubo em residências particulares,,, crimes,,19718
2009,Áustria,,,11. Furto,,, crimes,,170683
2009,Áustria,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,9289
2009,Áustria,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,2099
2009,Bélgica,,,01. Homicídio intencional,,, crimes,,189
2009,Bélgica,,,02. Tentativa de homicídio intencional,,, crimes,,746
2009,Bélgica,,,03. Agressão grave,,, crimes,,77665
2009,Bélgica,,,04. Sequestro,,, crimes,,1080
2009,Bélgica,,,05. Violência sexual,,, crimes,,10609
2009,Bélgica,,,06. Violação,,, crimes,,3152
2009,Bélgica,,,07. Assédio sexual,,, crimes,,7457
2009,Bélgica,,,08. Roubo,,, crimes,,23581
2009,Bélgica,,,09. Arrombamento,,, crimes,,97121
2009,Bélgica,,,10. Roubo em residências particulares,,, crimes,,69456
2009,Bélgica,,,11. Furto,,, crimes,,249627
2009,Bélgica,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,21906
2009,Bélgica,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,14960
2009,Bulgária,,,01. Homicídio intencional,,, crimes,,150
2009,Bulgária,,,02. Tentativa de homicídio intencional,,, crimes,,66
2009,Bulgária,,,03. Agressão grave,,, crimes,,3122
2009,Bulgária,,,04. Sequestro,,, crimes,,142
2009,Bulgária,,,05. Violência sexual,,, crimes,,726
2009,Bulgária,,,06. Violação,,, crimes,,246
2009,Bulgária,,,07. Assédio sexual,,, crimes,,480
2009,Bulgária,,,08. Roubo,,, crimes,,3596
2009,Bulgária,,,09. Arrombamento,,, crimes,,23682
2009,Bulgária,,,10. Roubo em residências particulares,,, crimes,,7963
2009,Bulgária,,,11. Furto,,, crimes,,44278
2009,Bulgária,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,4424
2009,Bulgária,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,3662
2009,Chéquia,,,01. Homicídio intencional,,, crimes,,105
2009,Chéquia,,,02. Tentativa de homicídio intencional,,, crimes,,76
2009,Chéquia,,,03. Agressão grave,,, crimes,,4756
2009,Chéquia,,,04. Sequestro,,, crimes,,12
2009,Chéquia,,,05. Violência sexual,,, crimes,,1730
2009,Chéquia,,,06. Violação,,, crimes,,480
2009,Chéquia,,,07. Assédio sexual,,, crimes,,1250
2009,Chéquia,,,08. Roubo,,, crimes,,4687
2009,Chéquia,,,09. Arrombamento,,, crimes,,54848
2009,Chéquia,,,10. Roubo em residências particulares,,, crimes,,4790
2009,Chéquia,,,11. Furto,,, crimes,,139113
2009,Chéquia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,68515
2009,Chéquia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,3046
2009,Chipre,,,01. Homicídio intencional,,, crimes,,19
2009,Chipre,,,02. Tentativa de homicídio intencional,,, crimes,,19
2009,Chipre,,,03. Agressão grave,,, crimes,,219
2009,Chipre,,,04. Sequestro,,, crimes,,26
2009,Chipre,,,05. Violência sexual,,, crimes,,78
2009,Chipre,,,06. Violação,,, crimes,,27
2009,Chipre,,,07. Assédio sexual,,, crimes,,51
2009,Chipre,,,08. Roubo,,, crimes,,142
2009,Chipre,,,09. Arrombamento,,, crimes,,2504
